Instance, Algorithm, RandSeed, Duration, Optima
4.txt, HEA-ELITE, 8, 0.398, 0
4.txt, HEA-ELITE, 9, 0.401, 0
4.txt, HEA-ELITE, 10, 0.382, 0
4.txt, HEA-ELITE, 11, 0.389, 0
4.txt, HEA-ELITE, 12, 0.378, 0
4.txt, HEA-ELITE, 13, 0.401, 0
4.txt, HEA-ELITE, 14, 0.392, 0
4.txt, HEA-ELITE, 15, 0.383, 0
4.txt, HEA-ELITE, 16, 0.381, 0
4.txt, HEA-ELITE, 17, 0.407, 0
4.txt, HEA-ELITE, 18, 0.416, 0
4.txt, HEA-ELITE, 19, 0.392, 0
4.txt, HEA-ELITE, 20, 0.393, 0
4.txt, HEA-ELITE, 21, 0.387, 0
4.txt, HEA-ELITE, 22, 0.4, 0
4.txt, HEA-ELITE, 23, 0.401, 0
4.txt, HEA-ELITE, 24, 0.392, 0
4.txt, HEA-ELITE, 25, 0.39, 0
4.txt, HEA-ELITE, 26, 0.389, 0
4.txt, HEA-ELITE, 27, 0.392, 0
4.txt, HEA-ELITE, 28, 0.395, 0
4.txt, HEA-ELITE, 29, 0.394, 0
4.txt, HEA-ELITE, 30, 0.391, 0
5.txt, HEA-ELITE, 1, 0.309, 0
5.txt, HEA-ELITE, 2, 0.309, 0
5.txt, HEA-ELITE, 3, 0.306, 0
5.txt, HEA-ELITE, 4, 0.308, 0
5.txt, HEA-ELITE, 5, 0.309, 0
5.txt, HEA-ELITE, 6, 0.303, 0
5.txt, HEA-ELITE, 7, 0.306, 0
5.txt, HEA-ELITE, 8, 0.31, 0
5.txt, HEA-ELITE, 9, 0.309, 0
5.txt, HEA-ELITE, 10, 0.32, 0
5.txt, HEA-ELITE, 11, 0.308, 0
5.txt, HEA-ELITE, 12, 0.308, 0
5.txt, HEA-ELITE, 13, 0.314, 0
5.txt, HEA-ELITE, 14, 0.313, 0
5.txt, HEA-ELITE, 15, 0.303, 0
5.txt, HEA-ELITE, 16, 0.318, 0
5.txt, HEA-ELITE, 17, 0.303, 0
5.txt, HEA-ELITE, 18, 0.309, 0
5.txt, HEA-ELITE, 19, 0.298, 0
5.txt, HEA-ELITE, 20, 0.306, 0
5.txt, HEA-ELITE, 21, 0.312, 0
5.txt, HEA-ELITE, 22, 0.309, 0
5.txt, HEA-ELITE, 23, 0.305, 0
5.txt, HEA-ELITE, 24, 0.308, 0
5.txt, HEA-ELITE, 25, 0.303, 0
5.txt, HEA-ELITE, 26, 0.316, 0
5.txt, HEA-ELITE, 27, 0.304, 0
5.txt, HEA-ELITE, 28, 0.301, 0
5.txt, HEA-ELITE, 29, 0.304, 0
5.txt, HEA-ELITE, 30, 0.308, 0
6.txt, HEA-ELITE, 1, 0.253, 0
6.txt, HEA-ELITE, 2, 0.233, 0
6.txt, HEA-ELITE, 3, 0.262, 0
6.txt, HEA-ELITE, 4, 0.251, 0
6.txt, HEA-ELITE, 5, 0.239, 0
6.txt, HEA-ELITE, 6, 0.267, 0
6.txt, HEA-ELITE, 7, 0.242, 0
6.txt, HEA-ELITE, 8, 0.266, 0
6.txt, HEA-ELITE, 9, 0.244, 0
6.txt, HEA-ELITE, 10, 0.277, 0
6.txt, HEA-ELITE, 11, 0.247, 0
6.txt, HEA-ELITE, 12, 0.249, 0
6.txt, HEA-ELITE, 13, 0.276, 0
6.txt, HEA-ELITE, 14, 0.249, 0
6.txt, HEA-ELITE, 15, 0.246, 0
6.txt, HEA-ELITE, 16, 0.234, 0
6.txt, HEA-ELITE, 17, 0.237, 0
6.txt, HEA-ELITE, 18, 0.235, 0
6.txt, HEA-ELITE, 19, 0.222, 0
6.txt, HEA-ELITE, 20, 0.258, 0
6.txt, HEA-ELITE, 21, 0.251, 0
6.txt, HEA-ELITE, 22, 0.26, 0
6.txt, HEA-ELITE, 23, 0.242, 0
6.txt, HEA-ELITE, 24, 0.247, 0
6.txt, HEA-ELITE, 25, 0.242, 0
6.txt, HEA-ELITE, 26, 0.251, 0
6.txt, HEA-ELITE, 27, 0.252, 0
6.txt, HEA-ELITE, 28, 0.239, 0
6.txt, HEA-ELITE, 29, 0.232, 0
6.txt, HEA-ELITE, 30, 0.244, 0
7.txt, HEA-ELITE, 1, 2.492, 0
7.txt, HEA-ELITE, 2, 0.23, 0
7.txt, HEA-ELITE, 3, 0.881, 0
7.txt, HEA-ELITE, 4, 0.37, 0
7.txt, HEA-ELITE, 5, 0.673, 0
7.txt, HEA-ELITE, 6, 0.624, 0
7.txt, HEA-ELITE, 7, 0.622, 0
7.txt, HEA-ELITE, 8, 0.383, 0
7.txt, HEA-ELITE, 9, 0.355, 0
7.txt, HEA-ELITE, 10, 0.52, 0
7.txt, HEA-ELITE, 11, 1.582, 0
7.txt, HEA-ELITE, 12, 1.046, 0
7.txt, HEA-ELITE, 13, 0.35, 0
7.txt, HEA-ELITE, 14, 1.526, 0
7.txt, HEA-ELITE, 15, 0.384, 0
7.txt, HEA-ELITE, 16, 0.337, 0
7.txt, HEA-ELITE, 17, 0.774, 0
7.txt, HEA-ELITE, 18, 0.411, 0
7.txt, HEA-ELITE, 19, 0.39, 0
7.txt, HEA-ELITE, 20, 0.896, 0
7.txt, HEA-ELITE, 21, 0.944, 0
7.txt, HEA-ELITE, 22, 0.588, 0
7.txt, HEA-ELITE, 23, 1.611, 0
7.txt, HEA-ELITE, 24, 0.972, 0
7.txt, HEA-ELITE, 25, 0.672, 0
7.txt, HEA-ELITE, 26, 2.135, 0
7.txt, HEA-ELITE, 27, 0.293, 0
7.txt, HEA-ELITE, 28, 1.606, 0
7.txt, HEA-ELITE, 29, 0.558, 0
7.txt, HEA-ELITE, 30, 0.357, 0
8.txt, HEA-ELITE, 1, 20.599, 0
8.txt, HEA-ELITE, 2, 130.053, 0
8.txt, HEA-ELITE, 3, 599.902, 2
8.txt, HEA-ELITE, 4, 150.967, 0
8.txt, HEA-ELITE, 5, 131.311, 0
8.txt, HEA-ELITE, 6, 174.558, 0
8.txt, HEA-ELITE, 7, 180.287, 0
8.txt, HEA-ELITE, 8, 4.974, 0
8.txt, HEA-ELITE, 9, 560.165, 0
8.txt, HEA-ELITE, 10, 33.676, 0
8.txt, HEA-ELITE, 11, 80.687, 0
8.txt, HEA-ELITE, 12, 100.908, 0
8.txt, HEA-ELITE, 13, 54.095, 0
8.txt, HEA-ELITE, 14, 98.01, 0
8.txt, HEA-ELITE, 15, 7.065, 0
8.txt, HEA-ELITE, 16, 143.191, 0
8.txt, HEA-ELITE, 17, 68.927, 0
8.txt, HEA-ELITE, 18, 244.423, 0
8.txt, HEA-ELITE, 19, 60.56, 0
8.txt, HEA-ELITE, 20, 240.391, 0
8.txt, HEA-ELITE, 21, 25.554, 0
8.txt, HEA-ELITE, 22, 152.107, 0
8.txt, HEA-ELITE, 23, 8.694, 0
8.txt, HEA-ELITE, 24, 92.936, 0
8.txt, HEA-ELITE, 25, 118.512, 0
8.txt, HEA-ELITE, 26, 329.517, 0
8.txt, HEA-ELITE, 27, 52.287, 0
8.txt, HEA-ELITE, 28, 93.187, 0
8.txt, HEA-ELITE, 29, 92.809, 0
8.txt, HEA-ELITE, 30, 50.935, 0
9.txt, HEA-ELITE, 1, 0.111, 0
9.txt, HEA-ELITE, 2, 0.136, 0
9.txt, HEA-ELITE, 3, 0.087, 0
9.txt, HEA-ELITE, 4, 0.117, 0
9.txt, HEA-ELITE, 5, 0.126, 0
9.txt, HEA-ELITE, 6, 0.103, 0
9.txt, HEA-ELITE, 7, 0.104, 0
9.txt, HEA-ELITE, 8, 0.131, 0
9.txt, HEA-ELITE, 9, 0.13, 0
9.txt, HEA-ELITE, 10, 0.129, 0
9.txt, HEA-ELITE, 11, 0.097, 0
9.txt, HEA-ELITE, 12, 0.098, 0
9.txt, HEA-ELITE, 13, 0.12, 0
9.txt, HEA-ELITE, 14, 0.15, 0
9.txt, HEA-ELITE, 15, 0.155, 0
9.txt, HEA-ELITE, 16, 0.098, 0
9.txt, HEA-ELITE, 17, 0.109, 0
9.txt, HEA-ELITE, 18, 0.106, 0
9.txt, HEA-ELITE, 19, 0.147, 0
9.txt, HEA-ELITE, 20, 0.111, 0
9.txt, HEA-ELITE, 21, 0.107, 0
9.txt, HEA-ELITE, 22, 0.138, 0
9.txt, HEA-ELITE, 23, 0.152, 0
9.txt, HEA-ELITE, 24, 0.107, 0
9.txt, HEA-ELITE, 25, 0.157, 0
9.txt, HEA-ELITE, 26, 0.115, 0
9.txt, HEA-ELITE, 27, 0.102, 0
9.txt, HEA-ELITE, 28, 0.096, 0
9.txt, HEA-ELITE, 29, 0.129, 0
9.txt, HEA-ELITE, 30, 0.119, 0
0.txt, HEA, 1, 0.109, 0
0.txt, HEA, 2, 0.113, 0
0.txt, HEA, 3, 0.117, 0
0.txt, HEA, 4, 0.124, 0
0.txt, HEA, 5, 0.11, 0
0.txt, HEA, 6, 0.108, 0
0.txt, HEA, 7, 0.126, 0
0.txt, HEA, 8, 0.111, 0
0.txt, HEA, 9, 0.116, 0
0.txt, HEA, 10, 0.123, 0
0.txt, HEA, 11, 0.105, 0
0.txt, HEA, 12, 0.118, 0
0.txt, HEA, 13, 0.115, 0
0.txt, HEA, 14, 0.111, 0
0.txt, HEA, 15, 0.118, 0
0.txt, HEA, 16, 0.128, 0
0.txt, HEA, 17, 0.106, 0
0.txt, HEA, 18, 0.111, 0
0.txt, HEA, 19, 0.11, 0
0.txt, HEA, 20, 0.123, 0
0.txt, HEA, 21, 0.11, 0
0.txt, HEA, 22, 0.116, 0
0.txt, HEA, 23, 0.108, 0
0.txt, HEA, 24, 0.11, 0
0.txt, HEA, 25, 0.116, 0
0.txt, HEA, 26, 0.118, 0
0.txt, HEA, 27, 0.117, 0
0.txt, HEA, 28, 0.12, 0
0.txt, HEA, 29, 0.11, 0
0.txt, HEA, 30, 0.127, 0
1.txt, HEA, 1, 0.206, 0
1.txt, HEA, 2, 0.366, 0
1.txt, HEA, 3, 0.195, 0
1.txt, HEA, 4, 0.18, 0
1.txt, HEA, 5, 0.408, 0
1.txt, HEA, 6, 0.297, 0
1.txt, HEA, 7, 0.21, 0
1.txt, HEA, 8, 0.217, 0
1.txt, HEA, 9, 0.236, 0
1.txt, HEA, 10, 0.216, 0
1.txt, HEA, 11, 0.192, 0
1.txt, HEA, 12, 0.276, 0
1.txt, HEA, 13, 0.501, 0
1.txt, HEA, 14, 0.416, 0
1.txt, HEA, 15, 0.232, 0
1.txt, HEA, 16, 0.635, 0
1.txt, HEA, 17, 0.226, 0
1.txt, HEA, 18, 1.542, 0
1.txt, HEA, 19, 0.191, 0
1.txt, HEA, 20, 0.21, 0
1.txt, HEA, 21, 0.799, 0
