Date, Instance, Algorithm, RandSeed, Duration, Optima
2026-02-10 23:37:26, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 29, 25.405, 0
2026-02-10 23:37:43, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 30, 17.07, 0
2026-02-10 23:39:01, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 1, 10.909, 0
2026-02-10 23:39:38, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 2, 37.286, 0
2026-02-10 23:40:23, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 3, 44.945, 0
2026-02-10 23:40:36, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 4, 13.204, 0
2026-02-10 23:40:38, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 5, 1.242, 0
2026-02-10 23:41:44, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 6, 66.445, 0
2026-02-10 23:41:45, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 7, 0.718, 0
2026-02-10 23:42:11, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 8, 26.095, 0
2026-02-10 23:43:31, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 9, 79.724, 0
2026-02-10 23:43:41, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 10, 10.156, 0
2026-02-10 23:43:49, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 11, 7.827, 0
2026-02-10 23:43:52, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 12, 2.44, 0
2026-02-10 23:44:06, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 13, 13.963, 0
2026-02-10 23:44:44, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 14, 38.088, 0
2026-02-10 23:45:11, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 15, 27.718, 0
2026-02-10 23:46:25, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 16, 73.507, 0
2026-02-10 23:46:32, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 17, 7.222, 0
2026-02-10 23:46:46, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 18, 13.922, 0
2026-02-10 23:46:54, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 19, 7.437, 0
2026-02-10 23:46:59, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 20, 5.317, 0
2026-02-10 23:47:17, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 21, 18.173, 0
2026-02-10 23:47:52, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 22, 34.681, 0
2026-02-10 23:48:08, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 23, 15.807, 0
2026-02-10 23:48:19, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 24, 10.65, 0
2026-02-10 23:48:22, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 25, 3.831, 0
2026-02-10 23:49:00, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 26, 37.848, 0
2026-02-10 23:49:22, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 27, 21.908, 0
2026-02-10 23:49:56, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 28, 33.896, 0
2026-02-10 23:50:15, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 29, 18.678, 0
2026-02-10 23:50:50, qwhdec.order33.holes381.bal.1.col, TABU(mcf-200), 30, 35.094, 0
2026-02-10 23:53:11, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 1, 2.041, 0
2026-02-10 23:53:55, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 2, 43.736, 0
2026-02-10 23:54:24, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 3, 29.818, 0
2026-02-10 23:54:32, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 4, 7.55, 0
2026-02-10 23:54:39, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 5, 6.893, 0
2026-02-10 23:54:41, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 6, 1.712, 0
2026-02-10 23:54:55, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 7, 14.468, 0
2026-02-10 23:54:57, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 8, 1.486, 0
2026-02-10 23:55:13, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 9, 16.032, 0
2026-02-10 23:55:32, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 10, 19.563, 0
2026-02-10 23:56:08, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 11, 35.197, 0
2026-02-10 23:56:16, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 12, 8.382, 0
2026-02-10 23:56:17, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 13, 0.423, 0
2026-02-10 23:56:20, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 14, 3.891, 0
2026-02-10 23:56:38, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 15, 17.321, 0
2026-02-10 23:56:49, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 16, 10.749, 0
2026-02-10 23:56:49, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 17, 0.784, 0
2026-02-10 23:56:50, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 18, 0.705, 0
2026-02-10 23:57:04, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 19, 13.857, 0
2026-02-10 23:57:32, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 20, 27.75, 0
2026-02-10 23:57:33, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 21, 1.352, 0
2026-02-10 23:57:43, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 22, 9.56, 0
2026-02-10 23:57:51, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 23, 7.741, 0
2026-02-10 23:57:58, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 24, 7.636, 0
2026-02-10 23:58:22, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 25, 23.888, 0
2026-02-10 23:59:22, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 26, 59.251, 0
2026-02-10 23:59:36, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 27, 14.089, 0
2026-02-11 00:00:06, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 28, 30.072, 0
2026-02-11 00:00:35, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 29, 29.443, 0
2026-02-11 00:00:39, qwhdec.order33.holes381.bal.1.col, TABU(flow-300), 30, 3.425, 0
